Gene,Mutation_Type,Mutation_Location,Mean_WT_mRNA,Mean_Mut_mRNA,mRNA_Diff,Mean_WT_Protein,Mean_Mut_Protein,Protein_Diff,Mean_WT_Viability,Mean_Mut_Viability,Viability_Diff
Ah3,substitution,promoter,106104500.41802746,106104501.50114878,1.0831213146448135,25176.666666666668,25184.0,7.333333333332121,0.5404628684626744,0.5996500509230077,0.059187182460333276
Alli2r,insertion,promoter,400.5105851486068,400.4838525917398,-0.026732556867045787,21626.666666666668,21637.666666666668,11.0,0.25368650711176116,0.23179033013238823,-0.021896176979372933
Alli8,substitution,promoter,27.657171381769402,26.928329569363996,-0.7288418124054061,20556.333333333332,20565.333333333332,9.0,0.13653389704923005,0.15304424747973994,0.016510350430509885
Anap7c1,substitution,promoter,9.95771022732623,-39.57047711670045,-49.52818734402668,21147.666666666668,10071.333333333334,-11076.333333333334,0.5224736180322739,0.0,-0.5224736180322739
App1l8,insertion,promoter,4.057949182286905,3.632352909966963,-0.42559627231994224,26965.333333333332,26974.0,8.66666666666788,0.3161939672142069,0.22086409775822372,-0.09532986945598318
App8,substitution,promoter,2.4354714775300628,2.4978338861211,0.062362408591037255,16175.666666666666,16183.0,7.33333333333394,0.43331770207002873,0.3557842045740855,-0.07753349749594324
Avon1a5,substitution,promoter,77.14529910702257,77.5179313523054,0.3726322452828299,22752.333333333332,22765.666666666668,13.333333333335759,0.5351149524910533,0.5851667054911353,0.05005175300008191
Avon4,insertion,promoter,2.5127897199430618,3.958355557502786,1.445565837559724,35318.333333333336,55350.0,20031.666666666664,0.642143052064713,5.8578536789059195,5.215710626841206
Ben3l6,insertion,promoter,874.5565546971225,874.6048407816762,0.04828608455375161,11301.333333333334,11314.333333333334,13.0,0.2448625305012059,0.30782659075518265,0.06296406025397674
Bma9,insertion,promoter,31.008051570684938,31.628202494686107,0.6201509240011696,20849.333333333332,20864.0,14.66666666666788,0.44639295350771957,0.3082370350165478,-0.13815591849117176
Cairn1b8,substitution,promoter,20.717385718214185,20.803008667447234,0.08562294923304847,13846.333333333334,13859.666666666666,13.33333333333212,0.7656969645431052,0.6746735192902524,-0.09102344525285277
